episode,net_worth,avg_reward,actor_loss,critic_loss,total_loss,orders
0,810.9271399563204,0.6638476651678961,-0.0018120551307220013,9.764430496943533e-05,-0.0017144112582172966,648
1,792.5111860660548,0.9117384773821472,-0.023418381123337894,9.791793873432652e-05,-0.023320462470792336,722
2,835.7958571097063,0.8741391226290471,-0.01710737924440764,5.685796015768574e-05,-0.01705052096367581,712
3,1040.7091887185188,1.2801490632587438,-0.021248271822696552,0.0001287133042296773,-0.02111955855107226,751
4,768.2655383755189,1.0394483976161588,-0.013427528482861818,0.00015406797458581423,-0.013273459846823243,798
5,834.5246938252628,1.1348898737767918,-0.01453865238581784,0.00011551081972811516,-0.01442314156156499,767
6,888.7311128714651,1.0302900730435482,-0.011650767183164134,9.734819583400167e-05,-0.011553419394658704,700
7,939.8209770642284,1.3088159949220504,-0.008084116678219289,0.0001102763514381877,-0.007973840253907839,766
8,786.7550306740876,1.1338088758035163,-0.011627749321633019,8.976008909939992e-05,-0.01153798901814298,798
9,831.171022704309,0.6262284879290759,-0.023908472023904323,8.991484017315088e-05,-0.023818556742044167,453
10,996.4487072729828,1.4814269626498662,-0.017481798442895526,0.00012159107659499568,-0.017360207914680358,832
11,947.4017202910956,1.5223720406421866,-0.009011716104578227,0.00014170223239489131,-0.00887001350765786,852
12,897.8760219486328,1.5005305770758801,-0.012194556172471494,0.00011752394332233961,-0.012077031633816659,813
13,1013.6802338375489,1.461597492982499,-0.00461588010948617,0.00010645267179825169,-0.004509427509128727,847
14,830.2327787648812,1.4904046757758602,-0.005858017972786911,0.00010863879226690188,-0.005749379708140623,862
15,1143.1806594542672,1.8981597097391825,-0.013134411015198567,0.0001081941388292762,-0.013026217234437355,877
16,1037.312859430813,1.7351820563576534,-0.0018105634750099852,0.00011440197624779103,-0.001696161712607136,909
17,1100.756604476309,1.6605971575403442,-0.005217841165722348,6.886916099801965e-05,-0.005148971301969141,915
18,1155.6737857414846,1.7327098394069576,-0.009310843021376058,7.170265295144417e-05,-0.009239140461431816,903
19,1138.1410497860911,1.7902074246055966,-0.002441834824276157,8.109661847583993e-05,-0.0023607387563970407,928
20,832.570475657999,1.419736353766905,-0.0021513806379516607,8.142886351834023e-05,-0.0020699522241557134,945
21,956.9554262455775,1.5090733653168609,-0.009795996831962838,8.513260336258099e-05,-0.009710863989312202,945
22,1256.2179232141955,2.3019344677360114,0.0013128728300216609,0.00014033751688202756,0.0014532100807628013,944
23,1153.625847434414,1.6899375201592064,-0.002059395791729912,0.00014097058935931274,-0.0019184253438652376,941
24,937.9761842631946,0.2652420645386835,-0.004883540328592062,0.00025033872261701615,-0.004633201705291867,169
25,1022.4711377680256,1.731233048490551,-0.0018795714539010077,0.00016209256993988675,-0.001717478974023834,946
26,1050.111769291211,1.6069105297399024,-0.005943479230282483,0.00021003096308386713,-0.005733448592945933,771
27,985.2964233893731,0.4019613469553854,0.023728026845492422,0.0002496882470950368,0.023977715452201665,210
28,939.6640597327553,1.320505300578382,-0.0004959506986779161,6.813136573100565e-05,-0.0004278194654034451,963
29,1051.0973021646976,1.7099297044152906,-0.010301938603515737,8.882002950372225e-05,-0.010213117470266297,950
30,975.7042660242653,1.7173303344789925,0.0049488359698443675,0.00011911640601738326,0.005067952829995193,927
31,1444.037863847159,2.338751183308115,-0.005146768884151243,0.00011690473072576424,-0.005029863749587094,949
32,1084.0795548582528,2.0193233280450333,-0.003957719658501446,0.00019378933229745597,-0.00376393034857756,936
33,1261.6864715381432,2.3585409555415513,-0.0011685383273288608,0.00015623927999968145,-0.0010122990708623548,957
34,887.9261492979767,1.5355884672001687,-0.0005447216797620058,0.00014204543042524166,-0.0004026771959615871,938
35,935.7514737712336,1.2990118910481903,0.002068525519280229,5.21517670904359e-05,0.002120677487619105,958
36,1463.08117187518,2.3231891405055314,-0.0005506719098775648,0.00016754125227862459,-0.0003831303594779456,970
37,1089.3412009136007,1.9055762476775353,0.0038672882234095595,0.00015863730586715974,0.004025925567839294,967
38,1112.2615552410698,1.8834084308953853,-0.0076598891864705365,8.809787127574963e-05,-0.007571791124064475,972
39,1442.8545847024666,2.2615906402745862,-0.0006527628742333036,0.00012589169400598622,-0.0005268716064165347,965
40,1200.6529610842088,2.0421547455041766,-0.0026815281416929793,0.00010880477807404532,-0.0025727236934471875,975
41,1043.3169638099841,1.7039705581181466,0.0016038560213928576,5.9680912283965884e-05,0.0016635361294902395,975
42,1010.9509925983646,1.8028174551136815,0.006698839904856868,6.298593223164062e-05,0.006761825575085823,982
43,976.5940884327945,0.9028163636037677,-0.0018159646607403244,0.0001478039606809034,-0.0016681615926375213,441
44,1265.303037806742,1.9762843227871523,-0.0048730710841482505,0.00011677979405249062,-0.004756291691592196,985
45,931.2167589345142,2.077154741048356,0.0005128617660375312,0.00010678070491394464,0.0006196425150847062,979
46,954.8795002632022,1.752138223030196,-0.004986909333092626,7.362729788837897e-05,-0.004913282032066491,958
47,1338.7544215882224,2.515462290532805,-0.0010681463034416083,0.00011043282792115861,-0.0009577142263879068,974
48,973.4877341793168,1.8390614345328427,-0.007099452341208234,8.125447075144621e-05,-0.007018198080186266,987
49,880.0857936264335,1.2959027388946478,-0.0045170985882577955,7.158584953685932e-05,-0.004445511931771761,989
50,913.9501680932393,1.865990883454546,-0.005204365721147042,7.010718476294642e-05,-0.005134258026373573,989
51,1056.2370644584096,1.879985960667711,-0.00215085838426603,6.835202472075253e-05,-0.0020825066181714646,990
52,856.3024672657036,1.2446492731979908,-0.0010533921165915671,3.195777466373784e-05,-0.0010214346173597732,986
